Method,Dataset,AUC,F1-score,Accuracy,Recall (Sensitivity),Specificity
EDC Baseline (ImageNet),APTOS,0.9556,0.9282,0.9001,0.9262,0.8398
EDC Baseline (ImageNet),BR35H,0.9837,0.9763,0.9640,0.9887,0.8900
EDC Baseline (ImageNet),ISIC2018,0.8576,0.7564,0.8031,0.8429,0.7805
EDC Baseline (ImageNet),OCT2017,0.9594,0.9458,0.9180,0.9547,0.8080
EDC Baseline (ImageNet),LUNGCT,0.8942,0.9906,0.9830,1.0000,0.8333
SSL-EDC Frozen,APTOS,0.8514,0.8681,0.8017,0.9354,0.4932
SSL-EDC Frozen,BR35H,0.9616,0.9589,0.9375,0.9720,0.8340
SSL-EDC Frozen,ISIC2018,0.7338,0.6374,0.6580,0.8286,0.5610
SSL-EDC Frozen,OCT2017,0.9139,0.8969,0.8480,0.8813,0.7480
SSL-EDC Frozen,LUNGCT,0.9512,0.9906,0.9830,1.0000,0.8333
SSL-EDC Finetune,APTOS,,,,,
SSL-EDC Finetune,BR35H,0.9583,0.9673,0.9500,0.9847,0.8460
SSL-EDC Finetune,ISIC2018,0.7419,0.6667,0.7047,0.8143,0.6423
SSL-EDC Finetune,OCT2017,0.8838,0.8781,0.8240,0.8453,0.7600
SSL-EDC Finetune,LUNGCT,0.9324,0.9925,0.9864,1.0000,0.8667
